reason_type1,reason_type2,reason_type3,reason_type4,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0,0,0,1,7,3,1,289,36,13,33,239554.00,97,0,0,2,1,0,1,90,172,30,4
0,0,0,0,7,3,1,118,13,18,50,239554.00,97,1,0,1,1,0,0,98,178,31,0
0,0,0,1,7,4,1,179,51,18,38,239554.00,97,0,0,0,1,0,0,89,170,31,2
1,0,0,0,7,5,1,279,5,14,39,239554.00,97,0,0,2,1,1,0,68,168,24,4
0,0,0,1,7,5,1,289,36,13,33,239554.00,97,0,0,2,1,0,1,90,172,30,2
0,0,0,1,7,6,1,179,51,18,38,239554.00,97,0,0,0,1,0,0,89,170,31,2
0,0,0,1,7,6,1,361,52,3,28,239554.00,97,0,0,1,1,0,4,80,172,27,8
0,0,0,1,7,6,1,260,50,11,36,239554.00,97,0,0,4,1,0,0,65,168,23,4
0,0,1,0,7,2,1,155,12,14,34,239554.00,97,0,0,2,1,0,0,95,196,25,40
0,0,0,1,7,2,1,235,11,14,37,239554.00,97,0,1,1,0,0,1,88,172,29,8
1,0,0,0,7,2,1,260,50,11,36,239554.00,97,0,0,4,1,0,0,65,168,23,8
1,0,0,0,7,3,1,260,50,11,36,239554.00,97,0,0,4,1,0,0,65,168,23,8
1,0,0,0,7,4,1,260,50,11,36,239554.00,97,0,0,4,1,0,0,65,168,23,8
1,0,0,0,7,4,1,179,51,18,38,239554.00,97,0,0,0,1,0,0,89,170,31,1
0,0,0,1,7,4,1,179,51,18,38,239554.00,97,0,0,0,1,0,0,89,170,31,4
1,0,0,0,7,6,1,246,25,16,41,239554.00,97,0,0,0,1,0,0,67,170,23,8
0,0,0,1,7,6,1,179,51,18,38,239554.00,97,0,0,0,1,0,0,89,170,31,2
0,0,1,0,7,2,1,179,51,18,38,239554.00,97,0,0,0,1,0,0,89,170,31,8
1,0,0,0,7,5,1,189,29,13,33,239554.00,97,0,0,2,0,0,2,69,167,25,8
0,0,0,1,8,4,1,248,25,14,47,205917.00,92,0,0,2,0,0,1,86,165,32,2
1,0,0,0,8,4,1,330,16,4,28,205917.00,92,0,1,0,0,0,0,84,182,25,8
1,0,0,0,8,2,1,179,51,18,38,205917.00,92,0,0,0,1,0,0,89,170,31,1
1,0,0,0,8,2,1,361,52,3,28,205917.00,92,0,0,1,1,0,4,80,172,27,40
0,0,0,1,8,6,1,260,50,11,36,205917.00,92,0,0,4,1,0,0,65,168,23,4
0,0,1,0,8,2,1,289,36,13,33,205917.00,92,0,0,2,1,0,1,90,172,30,8
0,0,0,1,8,2,1,361,52,3,28,205917.00,92,0,0,1,1,0,4,80,172,27,7
0,0,0,1,8,3,1,289,36,13,33,205917.00,92,0,0,2,1,0,1,90,172,30,1
0,0,0,1,8,4,1,157,27,6,29,205917.00,92,0,0,0,1,1,0,75,185,22,4
0,0,1,0,8,4,1,289,36,13,33,205917.00,92,0,0,2,1,0,1,90,172,30,8
0,0,0,1,8,6,1,179,51,18,38,205917.00,92,0,0,0,1,0,0,89,170,31,2
0,0,1,0,8,2,1,179,51,18,38,205917.00,92,0,0,0,1,0,0,89,170,31,8
0,0,1,0,8,5,1,235,29,12,48,205917.00,92,0,0,1,0,1,5,88,163,33,8
0,0,0,1,8,5,1,235,11,14,37,205917.00,92,0,1,1,0,0,1,88,172,29,4
0,0,1,0,8,2,1,235,29,12,48,205917.00,92,0,0,1,0,1,5,88,163,33,8
0,0,0,1,8,2,1,179,51,18,38,205917.00,92,0,0,0,1,0,0,89,170,31,2
0,0,0,1,8,2,1,361,52,3,28,205917.00,92,0,0,1,1,0,4,80,172,27,1
0,0,0,1,8,3,1,289,36,13,33,205917.00,92,0,0,2,1,0,1,90,172,30,8
1,0,0,0,8,5,1,291,50,12,32,205917.00,92,0,0,0,1,0,0,65,169,23,4
0,0,0,1,8,6,1,235,29,12,48,205917.00,92,0,0,1,0,1,5,88,163,33,8
0,0,0,1,8,6,1,260,50,11,36,205917.00,92,0,0,4,1,0,0,65,168,23,4
0,0,0,1,9,3,1,184,42,7,27,241476.00,92,0,0,0,0,0,0,58,167,21,2
0,0,0,1,9,2,1,118,10,10,37,241476.00,92,0,0,0,0,0,0,83,172,28,4
0,0,0,1,9,3,1,179,51,18,38,241476.00,92,0,0,0,1,0,0,89,170,31,4
0,0,1,0,9,3,1,235,20,13,43,241476.00,92,0,0,1,1,0,0,106,167,38,8
0,0,0,1,9,4,1,155,12,14,34,241476.00,92,0,0,2,1,0,0,95,196,25,2
0,0,0,1,9,2,1,118,10,10,37,241476.00,92,0,0,0,0,0,0,83,172,28,3
0,0,0,1,9,3,1,179,51,18,38,241476.00,92,0,0,0,1,0,0,89,170,31,3
0,0,0,1,9,5,1,291,31,12,40,241476.00,92,0,0,1,1,0,1,73,171,25,4
0,0,0,1,9,6,1,260,50,11,36,241476.00,92,0,0,4,1,0,0,65,168,23,8
1,0,0,0,9,2,4,291,31,12,40,241476.00,92,0,0,1,1,0,1,73,171,25,32
0,0,0,0,9,2,4,260,50,11,36,241476.00,92,1,0,4,1,0,0,65,168,23,0
0,0,0,0,9,2,4,225,26,9,28,241476.00,92,1,0,1,0,0,2,69,169,24,0
0,0,0,1,9,3,4,225,26,9,28,241476.00,92,0,0,1,0,0,2,69,169,24,2
0,0,0,1,9,3,4,118,10,10,37,241476.00,92,0,0,0,0,0,0,83,172,28,2
0,0,0,0,9,3,4,289,36,13,33,241476.00,92,1,0,2,1,0,1,90,172,30,0
0,0,0,0,9,3,4,118,13,18,50,241476.00,92,1,0,1,1,0,0,98,178,31,0
0,0,1,0,9,4,4,225,26,9,28,241476.00,92,0,0,1,0,0,2,69,169,24,3
